,Bed,Bath,m²,Price,Address,Property_type,New_build,Page,County,Province
1042,0.0,0.0,2225.729432236656,295000.0,"Main Street Ballyroan Co Laois, Ballyroan, Co. Laois",Site,no,45,Laois,Leinster
1043,3.0,1.0,77.0,190000.0,"Custodum, 2205 Highfield Estate, Newbridge, Co. Kildare",End of Terrace,no,45,Kildare,Leinster
1044,3.0,1.0,84.0,220000.0,"Gortnalahee, Carrignavar, Co. Cork",Detached,no,45,Cork,Munster
1045,3.0,1.0,73.0,185000.0,"12 Clonmel Road, Callan, Co. Kilkenny",Terrace,no,45,Kilkenny,Leinster
1046,3.0,3.0,95.0,325000.0,"10 Mount Eustace Rise, Tyrrelstown, Dublin 15",Semi-D,no,45,Dublin 15,Leinster
1047,4.0,3.0,116.0,115000.0,"11 The Woodlands, Castlerea, Co. Roscommon",Semi-D,no,45,Roscommon,Connaught
1048,2.0,1.0,,155000.0,"Ballyvaldon, Blackwater, Co. Wexford",Detached,no,45,Wexford,Leinster
1049,3.0,3.0,104.0,285000.0,"15 Lauriston, The Park, Midleton, Co. Cork",Semi-D,no,45,Cork,Munster
1050,3.0,1.0,87.0,205000.0,"114 Brookville, Drogheda, Co. Louth",Terrace,no,46,Louth,Leinster
1051,4.0,3.0,144.0,380000.0,"16 Kilbelin Avenue, Newbridge, Co. Kildare",Semi-D,no,46,Kildare,Leinster
1052,3.0,1.0,,270000.0,"42 Drumcairn Drive, Fettercairn, Dublin 24",End of Terrace,no,46,Dublin 24,Leinster
1053,3.0,3.0,116.0,445000.0,"15 Blackrock Crescent, Eden, Blackrock, Co. Cork",Semi-D,no,46,Cork,Munster
1054,2.0,2.0,57.0,370000.0,"Apartment 30, Cloncurry House, Dublin 1",Duplex,no,46,Dublin 1,Leinster
1055,4.0,2.0,,235000.0,"52 Clonmore Heights, Mullingar, Co. Westmeath",Detached,no,46,Westmeath,Leinster
1056,4.0,3.0,205.0,1295000.0,"9 Elm Park, Nutley Lane, Donnybrook, Dublin 4",Detached,no,46,Dublin 4,Leinster
1057,3.0,2.0,90.0,159000.0,"15 Caltragh Heights, Sligo, Co. Sligo",Terrace,no,46,Sligo,Connaught
1058,3.0,2.0,103.0,395000.0,"48 Clancy Avenue, Finglas East, Finglas, Dublin 11",Terrace,no,46,Dublin 11,Leinster
1059,3.0,1.0,,75000.0,"Ballinvreena, Martinstown, Kilmallock, Co. Limerick",Detached,no,46,Limerick,Munster
1060,3.0,2.0,,225000.0,"182 St Helens, Rosslare Harbour, Co. Wexford",Bungalow,no,46,Wexford,Leinster
1061,2.0,1.0,52.0,275000.0,"12 Castle Street, Wicklow Town, Co. Wicklow",Terrace,no,46,Wicklow,Leinster
1062,2.0,2.0,90.0,299950.0,"4 Huntsmans Road, Lusk Village, Lusk, Co. Dublin",Detached,no,46,Dublin,Leinster
1063,3.0,1.0,113.0,495000.0,"8 Cherryfield Avenue, Walkinstown, Dublin 12",End of Terrace,no,46,Dublin 12,Leinster
1064,3.0,3.0,136.0,465000.0,"37 Castlewellan Park, Celbridge, Co. Kildare",Semi-D,no,46,Kildare,Leinster
1065,3.0,2.0,,295000.0,"Cloonties, Leap, Co. Cork",Detached,no,46,Cork,Munster
1066,6.0,3.0,264.0,395000.0,"Clashmore, Schull, Co. Cork",Detached,no,46,Cork,Munster
1067,4.0,2.0,124.0,385000.0,"Tullycross, Moydrum, Athlone, Co. Westmeath",Detached,no,46,Westmeath,Leinster
1068,4.0,2.0,94.0,255000.0,"2 The Villas, Northgate Street, Athlone, Co. Westmeath",Semi-D,no,46,Westmeath,Leinster
1069,3.0,3.0,101.0,225000.0,"13 Abbeygarth, Baylough, Athlone, Co. Westmeath",Semi-D,no,46,Westmeath,Leinster
1070,4.0,2.0,123.0,315000.0,"2 Woodville Drive, Athlone, Co. Westmeath",Detached,no,47,Westmeath,Leinster
1071,3.0,2.0,93.0,235000.0,"24 Cluainbroc, Old Galway Road, Athlone, Co. Roscommon",Semi-D,no,47,Roscommon,Connaught
1072,4.0,2.0,131.0,330000.0,"Bonavalley, Athlone, Co. Westmeath",Detached,no,47,Westmeath,Leinster
1073,2.0,1.0,69.0,187500.0,"Apartment 3, Silver Quay, Athlone, Co. Westmeath",Apartment,no,47,Westmeath,Leinster
1074,4.0,2.0,256.0,795000.0,"Kippinstown, Ballykeeran, Ballykeeran, Co. Westmeath",Detached,no,47,Westmeath,Leinster
1075,4.0,3.0,,450000.0,"Norfolk House, Gurranes North, Drimoleague, Co. Cork",Detached,no,47,Cork,Munster
1076,4.0,4.0,232.0,495000.0,"15 Hawthorn Wood, Suncroft, The Curragh, Co. Kildare",Detached,no,47,Kildare,Leinster
1077,2.0,2.0,82.0,350000.0,"Apartment 245, John Hogan House, Loreto Abbey, Dublin 14",Apartment,no,47,Dublin 14,Leinster
1078,3.0,1.0,116.0,725000.0,"25 Gledswood Avenue, Clonskeagh, Clonskeagh, Dublin 14",Semi-D,no,47,Dublin 14,Leinster
1079,0.0,0.0,2428.068471530897,150000.0,"Churchland, Manorcunningham, Co. Donegal",Site,no,47,Donegal,Ulster
1080,3.0,1.0,,130000.0,"14 Saint Bodens, Culdaff, Co. Donegal",End of Terrace,no,47,Donegal,Ulster
1081,2.0,1.0,,75000.0,"Bishop Street, Newcastle West, Co. Limerick",Townhouse,no,47,Limerick,Munster
1082,3.0,1.0,,484950.0,"60 ORourke Park, Sallynoggin, Co. Dublin",Detached,no,47,Dublin,Leinster
1083,1.0,2.0,65.0,140000.0,"2 Wallace Court, Eyre Street, Newbridge, Co. Kildare",Apartment,no,47,Kildare,Leinster
1084,5.0,3.0,,365000.0,"56 Inis Lua Fr Russell Road Raheen , Mungret, Co. Limerick",Semi-D,no,47,Limerick,Munster
1085,16.0,6.0,,580000.0,"8 Chapel Street, Athlone, Co. Westmeath",Townhouse,no,47,Westmeath,Leinster
1086,0.0,0.0,72842.05414592692,,"Turagh, Cappamore, Co. Limerick",Site,no,47,Limerick,Munster
1087,3.0,1.0,,125000.0,"Graigue, Thurles, Co. Tipperary",Detached,no,47,Tipperary,Munster
1088,3.0,1.0,,125000.0,"1 Saint John's Terrace, Hospital, Co. Limerick",End of Terrace,no,47,Limerick,Munster
1089,5.0,2.0,231.0,395000.0,"Rathduff, Knockbeg, Carlow Town, Co. Carlow",Detached,no,47,Carlow,Leinster
1090,1.0,1.0,56.0,174000.0,"23 Parkview Villas, Blessington, Co. Wicklow",Apartment,no,48,Wicklow,Leinster
1091,4.0,3.0,165.0,304950.0,"3 Pipers Court, Mullingar, Co. Westmeath",Townhouse,no,48,Westmeath,Leinster
1092,3.0,2.0,92.0,525000.0,"117 Oliver Plunkett Road, Monkstown, Co. Dublin",Semi-D,no,48,Dublin,Leinster
1093,2.0,2.0,73.0,220000.0,"49 Copperhill, Broomfield, Midleton, Co. Cork",Apartment,no,48,Cork,Munster
1094,3.0,3.0,104.0,160000.0,"12 Oakland Heights, Drumkeen, Co. Donegal",Semi-D,no,48,Donegal,Ulster
1095,2.0,1.0,73.0,400000.0,"10 Butlers Place, Benson Street, Dublin 2",Apartment,no,48,Dublin 2,Leinster
1096,3.0,1.0,86.0,235000.0,"1 William Street, Cashel, Co. Tipperary",Semi-D,no,48,Tipperary,Munster
1097,3.0,1.0,92.0,225000.0,"6 Ryecourt Manor, Cloughduv, Co. Cork",Terrace,no,48,Cork,Munster
1098,3.0,2.0,92.0,275000.0,"6 Rosslee, Melbourn Road, Bishopstown, Co. Cork",Semi-D,no,48,Cork,Munster
1099,0.0,0.0,2023.3903929424143,75000.0,"Gaybrook, Mullingar, Co. Westmeath",Site,no,48,Westmeath,Leinster
1100,3.0,3.0,,135000.0,"4 Fairgreens, Lahardane, Ballina, Co. Mayo",End of Terrace,no,48,Mayo,Connaught
1102,2.0,1.0,68.0,445000.0,"1 Mount Drummond Square, Harold's Cross Road, Harold's Cross, Dublin 6",Semi-D,no,48,Dublin 6,Leinster
1103,3.0,3.0,,395000.0,"38 Swift Hall, Collegewood, Castleknock, Dublin 15",Apartment,no,48,Dublin 15,Leinster
1104,0.0,0.0,2023.3903929424143,,"Bunlahy, Granard, Co. Longford",Site,no,48,Longford,Leinster
1105,3.0,1.0,,265000.0,"35 Beechlawn, Portlaoise, Co. Laois",Bungalow,no,48,Laois,Leinster
1106,4.0,2.0,140.0,175000.0,"Carrowhubbock South, Enniscrone, Co. Sligo",Detached,no,48,Sligo,Connaught
1107,3.0,3.0,110.0,320000.0,"7 The Beech Courtyard, Bellview Woods, Killarney, Co. Kerry",Semi-D,no,48,Kerry,Munster
1108,0.0,0.0,12140.342357654486,110000.0,"Ballysallagh, Hacketstown, Co. Carlow",Site,no,48,Carlow,Leinster
1109,2.0,1.0,73.0,100000.0,"Carrownabanny, Coolaney, Co. Sligo",Detached,no,48,Sligo,Connaught
1110,3.0,1.0,111.0,235000.0,"8 Lower Midleton Street, Cobh, Co. Cork",Terrace,no,49,Cork,Munster
1111,3.0,1.0,,155000.0,"Ballybregagh, Ballaghkeen, Co. Wexford",Detached,no,49,Wexford,Leinster
1112,4.0,2.0,1550.0,,"Monemore, Monard, Co. Tipperary",Bungalow,no,49,Tipperary,Munster
1113,3.0,2.0,,319000.0,"63 West Avenue, Park Gate, Douglas, Co. Cork",Semi-D,no,49,Cork,Munster
1114,4.0,2.0,147.0,395000.0,"St Anthonys, Ballyhooly Road, Ballyvolane, Co. Cork",Semi-D,no,49,Cork,Munster
1115,3.0,3.0,103.0,390000.0,"2 Esker Meadow Court, Lucan, Co. Dublin",Detached,no,49,Dublin,Leinster
1116,3.0,3.0,92.0,285000.0,"42 Oak Close, Bailis Downs, Navan, Co. Meath",Semi-D,no,49,Meath,Leinster
1117,2.0,1.0,74.0,445000.0,"16 Aughavannagh Road, Crumlin, Crumlin, Dublin 12",Terrace,no,49,Dublin 12,Leinster
1118,2.0,2.0,73.0,355000.0,"51 The Crescent, Carrickmines Manor, Carrickmines, Dublin 18",Apartment,no,49,Dublin 18,Leinster
1119,4.0,3.0,240.0,675000.0,"2 Seacliff, Dunbur Road, Wicklow Town, Co. Wicklow",Detached,no,49,Wicklow,Leinster
1120,3.0,3.0,100.0,249000.0,"8 Riverway, Pearson's Bridge, Ballylickey, Bantry, Co. Cork",End of Terrace,no,49,Cork,Munster
1121,3.0,2.0,108.0,280000.0,"97 Oakwood Grove, Clondalkin, Clondalkin, Dublin 22",Terrace,no,49,Dublin 22,Leinster
1122,4.0,2.0,141.0,210000.0,"14 Parkview Drive, Tuam, Co. Galway",Semi-D,no,49,Galway,Connaught
1123,14.0,3.0,847.0,825000.0,"Strawhall, Fermoy, Co. Cork",Detached,no,49,Cork,Munster
1124,0.0,0.0,3439.7636680021046,65000.0,"Ballymotey Beg, Oulart, Co. Wexford",Site,no,49,Wexford,Leinster
1125,3.0,3.0,1339.0,298000.0,"Croker, 16 Rathbride Demesne, Kildare, Co. Kildare",Semi-D,no,49,Kildare,Leinster
1126,4.0,4.0,304.0,655000.0,"Attycristora, Lahinch, Co. Clare",Detached,no,49,Clare,Munster
1127,2.0,1.0,,119000.0,"Apartment 16, Richmond Court, Mount Kenneth Place, Limerick City, Co. Limerick",Apartment,no,49,Limerick,Munster
1128,6.0,5.0,158.0,599000.0,"2 The Elites, Ludlow Street, Navan, Co. Meath",Townhouse,no,49,Meath,Leinster
1129,3.0,1.0,,250000.0,"Holycross, Rathkeale, Co. Limerick",Semi-D,no,49,Limerick,Munster
1130,4.0,4.0,223.0,335000.0,"Lissanure, Templetuohy, Thurles, Co. Tipperary",Bungalow,no,50,Tipperary,Munster
1131,1.0,1.0,,180000.0,"Street Name:Former Unity Credit Union, Shelbourne Road, Limerick City, Co. Limerick",Terrace,no,50,Limerick,Munster
1132,3.0,2.0,121.0,139500.0,"Kerryville, Cleaghmore, Ballinasloe, Co. Galway",Semi-D,no,50,Galway,Connaught
1133,4.0,3.0,,360000.0,"Mitchelstown, Mitchelstown, Co. Cork",Detached,no,50,Cork,Munster
1134,4.0,2.0,146.0,250000.0,"Camelot, Old Road, Cashel, Co. Tipperary",Detached,no,50,Tipperary,Munster
1135,4.0,2.0,126.0,365000.0,"Caher, Louisburgh, Co. Mayo",Detached,no,50,Mayo,Connaught
1136,1.0,1.0,40.0,185000.0,"Apartment 58, The Dargle, Prospect Hill, Finglas, Dublin 11",Apartment,no,50,Dublin 11,Leinster
1137,3.0,3.0,120.0,495000.0,"95 Clon Brugh, Aiken's Village, Dublin 18",Terrace,no,50,Dublin 18,Leinster
1138,4.0,2.0,134.0,199500.0,"Ranaghard, Claremorris, Co. Mayo",Bungalow,no,50,Mayo,Connaught
1139,2.0,1.0,59.0,375000.0,"Apartment 11, Roebuck Lawn Apartments, Clonskeagh, Dublin 14",Apartment,no,50,Dublin 14,Leinster
1140,3.0,2.0,105.0,630000.0,"7 Estuary Row, Malahide, Co. Dublin",Semi-D,no,50,Dublin,Leinster
1141,3.0,1.0,,189000.0,"8 Barley Hill Court, Bohola, Co. Mayo",Semi-D,no,50,Mayo,Connaught
1142,4.0,3.0,129.0,645000.0,"19 Coolamber Park, Knocklyon, Dublin 16",Semi-D,no,50,Dublin 16,Leinster
1143,4.0,2.0,100.0,495000.0,"209 Moyville, Rathfarnham, Dublin 16",Semi-D,no,50,Dublin 16,Leinster
1144,3.0,1.0,,195000.0,"Curraghgalla, Mitchelstown, Co. Cork",Detached,no,50,Cork,Munster
1145,4.0,5.0,240.0,1895000.0,"42 Belmont Avenue, Donnybrook, Dublin 4",Semi-D,no,50,Dublin 4,Leinster
1146,3.0,1.0,94.0,350000.0,"12 Shanard Avenue, Santry, Dublin 9",Semi-D,no,50,Dublin 9,Leinster
1147,3.0,3.0,120.0,250000.0,"49 Moyard, Shanballa, Ennis, Co. Clare",Semi-D,no,50,Clare,Munster
1148,2.0,1.0,,170000.0,"Sugarhill, Newcastle West, Co. Limerick",Detached,no,50,Limerick,Munster
1149,3.0,1.0,103.0,585000.0,"78 Granville Road, Cabinteely, Dublin 18",Semi-D,no,50,Dublin 18,Leinster
1150,5.0,4.0,175.0,349000.0,"16 Fairyfield, Parteen, Co. Clare",Detached,no,51,Clare,Munster
1151,1.0,1.0,64.0,525000.0,"Apartment 50, Orwell Hall, Rathgar, Dublin 6",Apartment,no,51,Dublin 6,Leinster
1152,2.0,1.0,78.0,165000.0,"118 Chord Road, Drogheda, Co. Louth",Terrace,no,51,Louth,Leinster
