,Date,Address,New_price,Old_price,Change(€),Change(%),Page,County,Province
1048,2022-09-29," 23 Stonebridge, Ratoath, Meath ",475000,497500,-22500,-4.52,72,Meath,Leinster
1050,2022-09-29," 7 Brewery Court, Ballinrobe, Mayo ",165000,145000,20000,13.79,73,Mayo,Connaught
1051,2022-09-29," 6 Bayview Pembroke Street , Irishtown, Dublin 4 ",525000,575000,-50000,-8.7,73,Dublin 4,Leinster
1052,2022-09-29," 3 Hacienda , Wynnsward Drive, Clonskeagh, Dublin 14 ",530000,575000,-45000,-7.83,73,Dublin 14,Leinster
1055,2022-09-29," 81 Saunders Lane, Rathnew, Wicklow ",415000,445000,-30000,-6.74,73,Wicklow,Leinster
1056,2022-09-29," The Elliot's, Dunbur Head,, Wicklow Town, Wicklow ",465000,495000,-30000,-6.06,73,Wicklow,Leinster
1057,2022-09-29," 6 Barr Na gCurrach, Baile na hAbhann, Furbo, Galway ",389000,395000,-6000,-1.52,73,Galway,Connaught
1058,2022-09-29," Mountain View , Toneymore ,Abbeylara , Longford ",270000,285000,-15000,-5.26,73,Longford,Leinster
1059,2022-09-29," Cill Dara, Ballymany, Newbridge, Kildare ",390000,445000,-55000,-12.36,73,Kildare,Leinster
1061,2022-09-29," Fernleigh,Park,Stradbally,Co. Laois,R32 T8W8 ",650000,595000,55000,9.24,73,Laois,Leinster
1062,2022-09-29," Clar Aoibheann,Claremorris,Co. Mayo ",39000,50000,-11000,-22.0,73,Mayo,Connaught
1063,2022-09-29," 27 Rice Park, Waterford City, Waterford ",179000,195000,-16000,-8.21,73,Waterford,Munster
1064,2022-09-29," Patrick Street, Mountmellick, Laois ",185000,180000,5000,2.78,73,Laois,Leinster
1065,2022-09-29," 58 Old  Willow Park, Athlone East, Westmeath ",190000,225000,-35000,-15.56,74,Westmeath,Leinster
1066,2022-09-29," 33 Hampton Gardens Drive,Balbriggan,Co. Dublin,K32 E034 ",369000,375000,-6000,-1.6,74,Dublin,Leinster
1067,2022-09-29," 22 King Street,Wexford Town,Y35 V2P5 ",135000,150000,-15000,-10.0,74,Wexford,Leinster
1068,2022-09-29," 24 Avondale,Trim,Co Meath,C15 W860 ",275000,240000,35000,14.58,74,Meath,Leinster
1069,2022-09-28," Ballycotton,Liscannor,Co Clare,V95 NF22 ",375000,395000,-20000,-5.06,74,Clare,Munster
1070,2022-09-28," 6 Green Road, Portlaoise, Co. Laois ",169500,189500,-20000,-10.55,74,Laois,Leinster
1071,2022-09-28," Windmill View,Kerry Pike,Co. Cork ",295000,290000,5000,1.72,74,Cork,Munster
1073,2022-09-28," 2 Inagh Court,Aclare,Co Sligo,F91 H9K2 ",85000,87500,-2500,-2.86,74,Sligo,Connaught
1074,2022-09-28," 12 Westway Lawns, Blanchardstown, Dublin ",280000,285000,-5000,-1.75,74,Dublin,Leinster
1075,2022-09-28," 2 CastleLea, Portarlington, Laois ",255000,265000,-10000,-3.77,74,Laois,Leinster
1076,2022-09-28," Asdee East, Asdee, Ballybunion, Kerry ",225000,245000,-20000,-8.16,74,Kerry,Munster
1077,2022-09-28," Gneeves, Lombardstown, Mallow, Cork ",170000,150000,20000,13.33,74,Cork,Munster
1078,2022-09-28," New Street, Abbeyfeale, Limerick ",139000,159000,-20000,-12.58,75,Limerick,Munster
1080,2022-09-28," 8 Castleview, Graiguecullen, Carlow Town, Carlow, R93 FW92 ",180000,190000,-10000,-5.26,75,Carlow,Leinster
1081,2022-09-28," Little Pebble, Cullenstown, Duncormick, Wexford ",275000,295000,-20000,-6.78,75,Wexford,Leinster
1082,2022-09-28," 55 Belfry Avenue, Dundalk, Co. Louth ",365000,375000,-10000,-2.67,75,Louth,Leinster
1083,2022-09-28," 30 Bellevue Heights, Greystones, Co. Wicklow ",775000,850000,-75000,-8.82,75,Wicklow,Leinster
1084,2022-09-28," No 1 Ashford Pines, Cong, Mayo ",730000,700000,30000,4.29,75,Mayo,Connaught
1085,2022-09-28," 273 Templeogue Road, Templeogue, Dublin 6W ",645000,685000,-40000,-5.84,75,Dublin,Leinster
1086,2022-09-28," 4 Ard Glas,Abbeylands,Ferrybank  , Ferrybank, Waterford ",265000,295000,-30000,-10.17,75,Waterford,Munster
1087,2022-09-28," Kilmoreen House, Kildimo, Co. Limerick ",900000,700000,200000,28.57,75,Limerick,Munster
1089,2022-09-28," Cloonfinglas, Fairymount, Castlerea, Co. Roscommon ",39000,45000,-6000,-13.33,75,Roscommon,Connaught
1090,2022-09-28," 16 Kilgarve Court, Creagh, Ballinasloe, Galway ",220000,245000,-25000,-10.2,76,Galway,Connaught
1091,2022-09-28," Hillcrest, Ringstown, Mountrath, Laois ",335000,350000,-15000,-4.29,76,Laois,Leinster
1093,2022-09-28," 5 Grattan Avenue,Grattan Park,Claremorris,Co Mayo,F12 F7K6 ",159000,169000,-10000,-5.92,76,Mayo,Connaught
1094,2022-09-27," Ashton,Ballyvolan Upper,Newcastle,County Wicklow,A63 F223 ",395000,450000,-55000,-12.22,76,Wicklow,Leinster
1095,2022-09-27," Lands At Corran Beg, Goleen, Skibbereen, Co. Cork ",160000,270000,-110000,-40.74,76,Cork,Munster
1096,2022-09-27," The Holly Bush, Kilmacow, Co. Kilkenny ",259000,249000,10000,4.02,76,Kilkenny,Leinster
1097,2022-09-27," Monroe, Lisronagh, Clonmel, Co. Tipperary ",550000,590000,-40000,-6.78,76,Tipperary,Munster
1099,2022-09-27," 10 Charleston Avenue, Ranelagh,   Dublin 6 ",1100000,1250000,-150000,-12.0,76,Dublin 6,Leinster
1100,2022-09-27," Hyem, Ballycurrane North, Clashmore, Co. Waterford , Clashmore, Waterford ",450000,470000,-20000,-4.26,76,Waterford,Munster
1101,2022-09-27," 85 Rosehill, Wicklow Town, Co. Wicklow ",375000,385000,-10000,-2.6,76,Wicklow,Leinster
1102,2022-09-27," 10 Broadfield Close, Rathcoole, Co. Dublin ",265000,275000,-10000,-3.64,76,Dublin,Leinster
1103,2022-09-27," 36 Elizabeth Street, Drumcondra, Dublin 3 ",295000,324950,-29950,-9.22,77,Dublin 3,Leinster
1104,2022-09-27," Claregalway Village, Claregalway, Galway ",110000,150000,-40000,-26.67,77,Galway,Connaught
1105,2022-09-27," Drumcar, Dunleer, Louth ",345000,375000,-30000,-8.0,77,Louth,Leinster
1106,2022-09-27," 12 The Weir, Marketpoint, Mullingar, Co. Westmeath ",168950,179950,-11000,-6.11,77,Westmeath,Leinster
1107,2022-09-27," Coolnamuck, Inistioge, Kilkenny ",400000,425000,-25000,-5.88,77,Kilkenny,Leinster
1109,2022-09-27," 21 Lavarna Grove, Terenure, Dublin 6W ",895000,950000,-55000,-5.79,77,Dublin,Leinster
1110,2022-09-27," 5B Ashe Street, Youghal, Cork ",190000,199000,-9000,-4.52,77,Cork,Munster
1111,2022-09-27," 43 Meadow Way , Kilkenny, Kilkenny ",325000,345000,-20000,-5.8,77,Kilkenny,Leinster
1113,2022-09-27," 25 Convent Road, Blackrock, County Dublin ",735000,795000,-60000,-7.55,77,Dublin,Leinster
1114,2022-09-27," No. 5 & 5a Rathfarnham Road, Terenure, Dublin 6W ",640000,650000,-10000,-1.54,77,Dublin,Leinster
1115,2022-09-27," 57 Viking Road, Stoneybatter, Dublin 7 , Stoneybatter, Dublin 7 ",295000,340000,-45000,-13.24,77,Dublin 7,Leinster
1116,2022-09-27," 8 Shannon Park, Edgeworthstown, Longford ",145000,170000,-25000,-14.71,77,Longford,Leinster
1117,2022-09-27," 25 The Green, Kilteragh, Dooradoyle, Limerick ",249000,275000,-26000,-9.45,77,Limerick,Munster
1118,2022-09-27," 4 Curragh Hall Court, Tyrrelstown, Dublin 15 ",249950,299950,-50000,-16.67,77,Dublin 15,Leinster
1119,2022-09-27," 40 Beech Hill Drive, Donnybrook, Dublin 4 ",735000,795000,-60000,-7.55,78,Dublin 4,Leinster
1120,2022-09-27," Pairc na Heornan, Ballinagar, Offaly ",350000,369000,-19000,-5.15,78,Offaly,Leinster
1121,2022-09-27," 4 Fernleigh Court, Castleknock, Dublin 15 ",320000,300000,20000,6.67,78,Dublin 15,Leinster
1122,2022-09-27," 28 Castle View, Delvin, Westmeath ",189000,195000,-6000,-3.08,78,Westmeath,Leinster
1123,2022-09-27," 632 Kilkee Bay Apartments, Kilkee, Clare ",180000,175000,5000,2.86,78,Clare,Munster
1124,2022-09-27," 8 Rathlinn, Castleconnell, Limerick ",650000,695000,-45000,-6.47,78,Limerick,Munster
1125,2022-09-27," 97 Dominick Place, Waterford City, Waterford ",165000,159000,6000,3.77,78,Waterford,Munster
1126,2022-09-27," Millstreet, Cappagh, Dungarvan, Co. Waterford ",185000,115000,70000,60.87,78,Waterford,Munster
1127,2022-09-27," 30 Ashfield Grove, Huntstown, Dublin 15 ",340000,310000,30000,9.68,78,Dublin 15,Leinster
1129,2022-09-27," Ardahill,Kilcrohane,Co Cork,P75 Y243 ",495000,345000,150000,43.48,78,Cork,Munster
1130,2022-09-26," Mallahow, Naul, Dublin ",725000,825000,-100000,-12.12,78,Dublin,Leinster
1131,2022-09-26," 27 St Laurence's Park,Wicklow Town,Co. Wicklow,A67 K209 ",485000,520000,-35000,-6.73,78,Wicklow,Leinster
1132,2022-09-26," 12 Elm Court,Lissadell Park,Carney,Co. Sligo,F91A5Y4 ",225000,224000,1000,0.45,79,Sligo,Connaught
1133,2022-09-26," 16 Lake View, Glenamaddy, Castlerea, Co. Roscommon ",220000,250000,-30000,-12.0,79,Roscommon,Connaught
1134,2022-09-26," Apt 2 Carraig Court, Main Street, Blackrock, Co. Dublin ",395000,409500,-14500,-3.54,79,Dublin,Leinster
1135,2022-09-26," Glann,Connolly,Ennis,Co Clare,V95 E9D3 ",125000,100000,25000,25.0,79,Clare,Munster
1136,2022-09-26," Carlow Road , Ballylynan, Laois ",65000,55000,10000,18.18,79,Laois,Leinster
1137,2022-09-26," Courthouse Square,Clifden,Co.Galway,H71 NC52 ",215000,225000,-10000,-4.44,79,Galway,Connaught
1140,2022-09-26," Drom Slinne Portroe, Garrykennedy, Tipperary ",167000,145000,22000,15.17,79,Tipperary,Munster
1141,2022-09-26," 8 John Street South, South City Centre, Dublin 8 ",350000,375000,-25000,-6.67,79,Dublin 8,Leinster
1142,2022-09-26," 6 Centaur Court, Carlow Town, Carlow ",180000,190000,-10000,-5.26,79,Carlow,Leinster
1143,2022-09-26," 33 Mountain View Drive,Arklow,Co. Wicklow,Y14 T688 ",349000,345000,4000,1.16,79,Wicklow,Leinster
1144,2022-09-26," 26 Henry St, Drimna, Kilrush, Clare ",249000,275000,-26000,-9.45,79,Clare,Munster
1145,2022-09-26," Ballinlough Carrigeen, Mooncoin, Kilkenny ",425000,450000,-25000,-5.56,80,Kilkenny,Leinster
1146,2022-09-26," 28 Sullivan Street, Stoneybatter, Dublin 7 ",345000,380000,-35000,-9.21,80,Dublin 7,Leinster
1147,2022-09-26," 27 The Green, Sweetfields, Youghal, Cork ",265000,275000,-10000,-3.64,80,Cork,Munster
1148,2022-09-26," Apt 10 Grosvenor House, Monkstown, Monkstown, County Dublin ",415000,425000,-10000,-2.35,80,Dublin,Leinster
1150,2022-09-26," 28, St Josephs Park, The Lough, Glasheen, Cork ",250000,280000,-30000,-10.71,80,Cork,Munster
1152,2022-09-26," The Lodge, Clonmel, Tipperary ",595000,650000,-55000,-8.46,80,Tipperary,Munster
1153,2022-09-26," 10 Acres Of Development Lands, Clonlara, Co. Clare ",300000,375000,-75000,-20.0,80,Clare,Munster
1155,2022-09-26," Dun Ceilin, 69 Renmore Road, Renmore, Galway ",385000,450000,-65000,-14.44,80,Galway,Connaught
1156,2022-09-26," Apartment 7, 39/40 Dorset Street, Dorset Street, Dublin 1 ",305000,275000,30000,10.91,80,Dublin 1,Leinster
1157,2022-09-26," 29 Churchlands, Slane, Meath ",195000,220000,-25000,-11.36,80,Meath,Leinster
1158,2022-09-24," 2 Cloister Close, Blackrock, Co. Dublin ",695000,725000,-30000,-4.14,80,Dublin,Leinster
1160,2022-09-24," Type C01,Greenhill,Clonhaston,Enniscorthy,Co. Wexford ",245000,240000,5000,2.08,80,Wexford,Leinster
1161,2022-09-23," 8 The Grove,Fairfield Park,Waterford,X91 F9PX ",250000,259000,-9000,-3.47,80,Waterford,Munster
1162,2022-09-23," 7 Brookwood Grove, Artane, Dublin 5 ",525000,575000,-50000,-8.7,80,Dublin 5,Leinster
1163,2022-09-23," Toor, Kilcash, Carrick-on-Suir, Tipperary ",380000,395000,-15000,-3.8,81,Tipperary,Munster
1164,2022-09-23," 1 Rockview Terrace, Arklow, Wicklow ",165000,179000,-14000,-7.82,81,Wicklow,Leinster
1165,2022-09-23," 8 St Patricks Place, Kanturk, Cork ",169000,175000,-6000,-3.43,81,Cork,Munster
1166,2022-09-23," 18 Brooklawn, Woodlawn Rd, Killarney, Kerry ",365000,330000,35000,10.61,81,Kerry,Munster
1168,2022-09-23," 10 Ossory Court, Borris-in-Ossory, Laois ",180000,185000,-5000,-2.7,81,Laois,Leinster
1169,2022-09-23," 15 Bealing Crescent, Tyrrelstown, Dublin 15 ",369000,359000,10000,2.79,81,Dublin 15,Leinster
1170,2022-09-23," Ballytarsna, Cashel, Co. Tipperary ",50000,80000,-30000,-37.5,81,Tipperary,Munster
1171,2022-09-23," 48 Callenders Mill, Celbridge, Kildare ",342000,360000,-18000,-5.0,81,Kildare,Leinster
1173,2022-09-23," Creagh Road, Ballinrobe, Mayo ",155000,165000,-10000,-6.06,81,Mayo,Connaught
1175,2022-09-23," Laurel View, Garrywilliam, Crossabeg, Co. Wexford ",395000,415000,-20000,-4.82,81,Wexford,Leinster
1176,2022-09-23," 27 Gleann Ribh, Lusk, County Dublin ",280000,249000,31000,12.45,81,Dublin,Leinster
1177,2022-09-23," Killadangan, Westport, Mayo ",230000,250000,-20000,-8.0,81,Mayo,Connaught
1178,2022-09-23," 17 Ard na S�, Lis Na Dara, Carrick Road, Dundalk, Co. Louth ",229000,250000,-21000,-8.4,81,Louth,Leinster
1179,2022-09-23," 98 Shrewsbury, Ballsbridge, Dublin 4 ",469000,475000,-6000,-1.26,81,Dublin 4,Leinster
1180,2022-09-23," 77 Cromwellsfort Road, Walkinstown, Dublin 12 ",450000,475000,-25000,-5.26,82,Dublin 12,Leinster
1181,2022-09-23," 78 Annamoe Road, Cabra,   Dublin 7 ",525000,575000,-50000,-8.7,82,Dublin 7,Leinster
1182,2022-09-23," 6 Innisfallen Parade, Dublin 7, Dublin ",260000,285000,-25000,-8.77,82,Dublin 7,Leinster
1183,2022-09-23," Drogheda Road, Duleek, Meath ",350000,300000,50000,16.67,82,Meath,Leinster
1184,2022-09-23," Apartment 10 Beaucourt, Achill Road, Drumcondra, Dublin 9 ",225000,235000,-10000,-4.26,82,Dublin 9,Leinster
1185,2022-09-23," Drumkeelwick,Carrigallen,Co. Leitrim,H12 YC57 ",249500,269500,-20000,-7.42,82,Leitrim,Connaught
1186,2022-09-22," 54 Irish Street,Enniscorthy,Co Wexford,Y21F4AO ",149000,155000,-6000,-3.87,82,Wexford,Leinster
1187,2022-09-22," Curraghgraigue,Enniscorthy,Co Wexford,Y21 C798 ",470000,500000,-30000,-6.0,82,Wexford,Leinster
1188,2022-09-22," 8 Cluain Aoibhinn, Naas, Kildare ",370000,390000,-20000,-5.13,82,Kildare,Leinster
1189,2022-09-22," Crinnage, Co.Galway, Craughwell, Co. Galway ",450000,498000,-48000,-9.64,82,Galway,Connaught
1190,2022-09-22," 7 Railway Village, Rampark, Jenkinstown, Co. Louth ",590000,625000,-35000,-5.6,82,Louth,Leinster
1191,2022-09-22," 34 St Catherine's Terrace, Royal Canal Bank, Phibsboro, Dublin 7 ",585000,645000,-60000,-9.3,82,Dublin 7,Leinster
1192,2022-09-22," Ballingayrour Dromin, Kilmallock, Limerick ",229000,239000,-10000,-4.18,82,Limerick,Munster
1193,2022-09-22," Apt. 3 Dorrins Strand,Strandhill,Co. Sligo,F91X316 ",210000,230000,-20000,-8.7,82,Sligo,Connaught
1194,2022-09-22," Stag Cottage, Laragh East, Glendalough, Wicklow ",498000,525000,-27000,-5.14,83,Wicklow,Leinster
1195,2022-09-22," 30 Latchford Park, Clonee, Dublin 15 ",330000,340000,-10000,-2.94,83,Dublin 15,Leinster
1196,2022-09-22," 16 Oranhill Avenue, Oranhill, Oranmore, Galway ",495000,550000,-55000,-10.0,83,Galway,Connaught
1197,2022-09-22," 1 Allan Dara, Summerhill, Meath ",395000,365000,30000,8.22,83,Meath,Leinster
1198,2022-09-22," 30 Ardamine Court, Ardamine, Wexford ",220000,200000,20000,10.0,83,Wexford,Leinster
1199,2022-09-22," 1 Slaney View, Chapel Hill, Baltinglass, Wicklow ",205000,215000,-10000,-4.65,83,Wicklow,Leinster
1200,2022-09-22," 6 Glentane Close, Ballinasloe, Galway ",275000,295000,-20000,-6.78,83,Galway,Connaught
1201,2022-09-22," Fairymount, Castlerea, Roscommon ",290000,295000,-5000,-1.69,83,Roscommon,Connaught
1202,2022-09-22," Fred's Bar, Rylane, Macroom, Cork ",250000,300000,-50000,-16.67,83,Cork,Munster
1203,2022-09-22," Fred's Bar, Rylane , Macroom, Cork ",250000,215000,35000,16.28,83,Cork,Munster
1205,2022-09-22," Cloonaugh Upper, Drumlish, Longford ",159000,167500,-8500,-5.07,83,Longford,Leinster
1206,2022-09-22," Creevagh More, Ballymahon, Longford ",139000,149000,-10000,-6.71,83,Longford,Leinster
1207,2022-09-22," 2 Tullaskeagh Square, Roscrea, Co. Tipperary ",170000,180000,-10000,-5.56,84,Tipperary,Munster
1208,2022-09-22," Ballynacourty South, Ring, Dungarvan, Waterford ",340000,375000,-35000,-9.33,84,Waterford,Munster
1209,2022-09-22," 90 Bremore Castle , Balbriggan, Dublin ",229950,239950,-10000,-4.17,84,Dublin,Leinster
1210,2022-09-22," 10 The Paddocks Rise , Adamstown, Lucan, Dublin ",395000,375000,20000,5.33,84,Dublin,Leinster
1211,2022-09-22," 28 Cluain Caislean,Ferns,Enniscorthy,Co. Wexford,Y21 D433 ",180000,187000,-7000,-3.74,84,Wexford,Leinster
1212,2022-09-22," Mill Street Townhouse,Mill Street,Timoleague,Co Cork,P72 P033 ",475000,495000,-20000,-4.04,84,Cork,Munster
1213,2022-09-22," 321 Carrick Road,Portlaw,Co. Waterford,X91 E1T1 ",154000,169000,-15000,-8.88,84,Waterford,Munster
1214,2022-09-22," 19 Railway View,Clara,Co Offaly,R35VK74 ",150000,160000,-10000,-6.25,84,Offaly,Leinster
1215,2022-09-21," 58 The Paddocks,Naas,Co. Kildare,W91 PF5P ",395000,410000,-15000,-3.66,84,Kildare,Leinster
1216,2022-09-21," Knockaveen, Scarriff, Clare ",425000,475000,-50000,-10.53,84,Clare,Munster
1217,2022-09-21," Mohercregg,Drumshanbo,Co. Leitrim,N41 TF24 ",140000,260000,-120000,-46.15,84,Leitrim,Connaught
1218,2022-09-21," Lisnolan, Manulla, Balla, Mayo ",75000,98000,-23000,-23.47,84,Mayo,Connaught
1219,2022-09-21," 154 Balrotherty Estate, Tallaght, Dublin 24 ",445000,479950,-34950,-7.28,84,Dublin 24,Leinster
1220,2022-09-21," 309 Ridgepool View Apartment, Barrett Street, Ballina, Co. Mayo, Ballina, Mayo ",109000,115000,-6000,-5.22,84,Mayo,Connaught
1221,2022-09-21," Bolaney,Gorey,Co. Wexford,Y25EV72 ",350000,385000,-35000,-9.09,85,Wexford,Leinster
1222,2022-09-21," 34 Parkmore More, Roscrea, Tipperary ",230000,195000,35000,17.95,85,Tipperary,Munster
1223,2022-09-21," 0.25 Acre Site, Kilrush Road, Ennis, Co. Clare ",120000,75000,45000,60.0,85,Clare,Munster
1224,2022-09-21," 8 River lane, Rotchford Manor , Trim, Meath ",260000,280000,-20000,-7.14,85,Meath,Leinster
1225,2022-09-21," 25 The Rise, Knocknacarra, Co. Galway ",415000,450000,-35000,-7.78,85,Galway,Connaught
1227,2022-09-21," Apartment 8 The Cedar, Cruagh Wood, Stepaside, Dublin ",310000,300000,10000,3.33,85,Dublin,Leinster
1228,2022-09-21," Shangarry, Gurtymadden, Loughrea, Galway ",400000,500000,-100000,-20.0,85,Galway,Connaught
1229,2022-09-21," 189 Bru na Sionna,Shannon,Co Clare,V14 AK74 ",230000,250000,-20000,-8.0,85,Clare,Munster
1230,2022-09-21," Sunaura, 1 Meath Road, Bray, Wicklow ",875000,895000,-20000,-2.23,85,Wicklow,Leinster
1231,2022-09-21," 1-4 Matt Kelly Flats, Main Street, Daingean, Co. Offaly ",175000,210000,-35000,-16.67,85,Offaly,Leinster
1232,2022-09-21," The Blue House, Dungarvan, Kilkenny, Kilkenny ",380000,390000,-10000,-2.56,85,Kilkenny,Leinster
1233,2022-09-21," Ryland Wood, Bunclody, Co. Wexford ",300000,285000,15000,5.26,85,Wexford,Leinster
1234,2022-09-21," 57 College Gate, Townsend Street, South City Centre, Dublin 2 ",300000,285000,15000,5.26,85,Dublin 2,Leinster
1235,2022-09-21," 8 Ceide Diarmada, Ard a Laoi, Castledermot, Co. Kildare ",225000,250000,-25000,-10.0,85,Kildare,Leinster
1236,2022-09-21," Creamery Road, Swanlinbar, Co. Cavan ",215000,230000,-15000,-6.52,86,Cavan,Ulster
1237,2022-09-21," Main Street, Belmullet, Mayo ",220000,355000,-135000,-38.03,86,Mayo,Connaught
1238,2022-09-21," No. 56 Barrett Place, Macroom, Cork ",150000,130000,20000,15.38,86,Cork,Munster
1240,2022-09-20," 13 The Corn Exchange, Poolbeg street, South City Center, Dublin 2, Dublin ",298000,315000,-17000,-5.4,86,Dublin 2,Leinster
1241,2022-09-20," 29 Oakbrook , Castlelake, Carrigtwohill, Cork ",245000,240000,5000,2.08,86,Cork,Munster
1242,2022-09-20," 14 Longwood Avenue, South Circular Road, Portobello, Dublin 8 ",895000,950000,-55000,-5.79,86,Dublin 8,Leinster
1243,2022-09-20," 11 Caledon Court , East Road, East Wall, Dublin 3 ",345000,350000,-5000,-1.43,86,Dublin 3,Leinster
1244,2022-09-20," Leitrim Quay Holiday Complex,Leitrim Village,Carrick-On-Shannon,Leitrim,N41 W225 ",1450000,1200000,250000,20.83,87,Leitrim,Connaught
1245,2022-09-20," Forest View Old Cork Road, Mallow, Cork ",220000,240000,-20000,-8.33,87,Cork,Munster
1246,2022-09-20," Carrick Cottage, Glaslacken, Bunclody, Co. Wexford ",315000,310000,5000,1.61,87,Wexford,Leinster
1247,2022-09-20," Tragara, Nerano Road, Dalkey, Co. Dublin ",2850000,3000000,-150000,-5.0,87,Dublin,Leinster
1248,2022-09-20," 11 The Meadows, Oldtown Mill, Celbridge, Co. Kildare ",350000,365000,-15000,-4.11,87,Kildare,Leinster
1249,2022-09-20," 20 Oakfield Avenue, Glanmire, Cork ",315000,285000,30000,10.53,87,Cork,Munster
1250,2022-09-20," Knockyle, Limerick Road, Roscrea, Co. Tipperary ",179000,195000,-16000,-8.21,87,Tipperary,Munster
1252,2022-09-20," Cuilleen, Creagh, Ballinasloe, Co. Roscommon ",215000,245000,-30000,-12.24,87,Roscommon,Connaught
1253,2022-09-20," 2 Avenue Court, Gorey, Wexford ",415000,425000,-10000,-2.35,87,Wexford,Leinster
1254,2022-09-20," Pound Road , Castlebar, Mayo ",250000,275000,-25000,-9.09,87,Mayo,Connaught
1256,2022-09-20," Ballyturin, Gort, Galway ",50000,40000,10000,25.0,87,Galway,Connaught
1257,2022-09-20," 44 Riverchapel View, Riverchapel, Courtown, Wexford ",170000,185000,-15000,-8.11,87,Wexford,Leinster
1258,2022-09-20," 27 Crescent Court , Cappagh White, Tipperary ",165000,185000,-20000,-10.81,87,Tipperary,Munster
1259,2022-09-20," Glenwood House, Glenabo, Fermoy, Cork ",550000,595000,-45000,-7.56,87,Cork,Munster
1261,2022-09-20," 105 The Ramparts, Willow Avenue, Cherrywood,   Dublin 18 ",295000,310000,-15000,-4.84,88,Dublin 18,Leinster
1263,2022-09-20," Sakura House, Monivea, Galway ",190000,255000,-65000,-25.49,88,Galway,Connaught
1264,2022-09-20," 11 Caislean Riada, Athlone East, Westmeath ",270000,280000,-10000,-3.57,88,Westmeath,Leinster
1265,2022-09-20," Oaklands, Lackyle, County Clare, Ardnacrusha, Co. Clare ",395000,375000,20000,5.33,88,Clare,Munster
1266,2022-09-20," Rednagh Road, Aughrim, Wicklow ",195000,220000,-25000,-11.36,88,Wicklow,Leinster
1267,2022-09-20," Glenlough, Kilcrohane, West Cork ",420000,495000,-75000,-15.15,88,Cork,Munster
1268,2022-09-20," Berehaven Holiday Complex, Waterfall, Castletown Berehaven, West Cork ",3500000,3000000,500000,16.67,88,Cork,Munster
1269,2022-09-20," 21 Hampton Wood Green, Finglas, Dublin 11 ",349950,299950,50000,16.67,88,Dublin 11,Leinster
1270,2022-09-20," 40 Donnellan Avenue, Ceannt Fort, Mount Brown, Kilmainham, Dublin 8 ",365000,380000,-15000,-3.95,88,Dublin 8,Leinster
1271,2022-09-20," 178 Charlemont, Griffith Avenue, Drumcondra, Dublin 9 ",495000,520000,-25000,-4.81,88,Dublin 9,Leinster
1273,2022-09-20," Ballyhighland,Caim,Enniscorthy,Co. Wexford,Y21 E725 ",350000,375000,-25000,-6.67,88,Wexford,Leinster
1274,2022-09-20," Clooncon West, Glenamaddy, Co. Galway ",25000,20000,5000,25.0,88,Galway,Connaught
1275,2022-09-19," 55 Ballybricken,Waterford,X91VK33 ",125000,170000,-45000,-26.47,88,Waterford,Munster
1276,2022-09-19," 2 The Old Library, Chapel Street, Dundalk, Co. Louth ",145000,150000,-5000,-3.33,88,Louth,Leinster
1277,2022-09-19," 20 The Drive, Milltree Park, Ratoath, Co. Meath ",349000,360000,-11000,-3.06,89,Meath,Leinster
1280,2022-09-19," 109 Woodview Elm Park Wilton, Wilton, Cork ",265000,250000,15000,6.0,89,Cork,Munster
1281,2022-09-19," Ballinabarney, Hollyfort, Wexford ",420000,395000,25000,6.33,89,Wexford,Leinster
1282,2022-09-19," 3 Rathbride Close, Kildare Town, Kildare ",450000,470000,-20000,-4.26,89,Kildare,Leinster
1283,2022-09-19," Ullid, Kilmacow, Waterford City, Co. Waterford ",340000,300000,40000,13.33,89,Waterford,Munster
1284,2022-09-19," 3 Líos Dubhaile, Dualla, Cashel, Co. Tipperary ",170000,190000,-20000,-10.53,89,Tipperary,Munster
1285,2022-09-19," Liselican, Borris, Co. Carlow ",565000,495000,70000,14.14,89,Carlow,Leinster
1286,2022-09-19," Shanacloon Bilboa, Cappamore, Limerick ",260000,280000,-20000,-7.14,89,Limerick,Munster
1287,2022-09-19," Derreen, Aughacashel, Co. Leitrim ",36000,27000,9000,33.33,89,Leitrim,Connaught
1288,2022-09-19," Newtown, Garryspillane, Co. Limerick ",199950,220000,-20050,-9.11,89,Limerick,Munster
1289,2022-09-19," 42A Heatherview, Sligo City, Sligo ",215000,210000,5000,2.38,89,Sligo,Connaught
1290,2022-09-19," 9 The Walk, Glenveigh, Navan, Meath ",366000,375000,-9000,-2.4,89,Meath,Leinster
1292,2022-09-19," 13 Kingsfort Manor, Ballintogher, Sligo ",175000,179000,-4000,-2.23,90,Sligo,Connaught
1293,2022-09-19," 3 Landsdowne Valley Crescent, Drimnagh, Dublin ",365000,380000,-15000,-3.95,90,Dublin,Leinster
1297,2022-09-19," 12 Preston Brook, Rathangan, Kildare ",350000,360000,-10000,-2.78,90,Kildare,Leinster
1298,2022-09-19," Ballinacarrig Lower, Ballinaclash, Wicklow ",180000,150000,30000,20.0,90,Wicklow,Leinster
1299,2022-09-19," Kickham Street, Carrick-on-Suir, Tipperary ",85000,100000,-15000,-15.0,90,Tipperary,Munster
1300,2022-09-19," Knockmore Cottage, Ballinagore, Westmeath ",60000,75000,-15000,-20.0,90,Westmeath,Leinster
