,Bed,Bath,m²,Price,Address,Property_type,New_build,Page
170,4.0,1.0,111.0,125000,"Cortonrue, Tuam, Co. Galway",Detached,no,8
171,5.0,5.0,185.0,495000,"126 Brandon Square, Waterville, Blanchardstown, Dublin 15",Terrace,no,8
172,3.0,1.0,75.0,475000,"6 O'Carolan Road, South Circular Road, Dublin 8",End of Terrace,no,8
173,1.0,1.0,42.0,195000,"Apartment 2 Quay House, Fitton Street, Cork City, Co. Cork",Apartment,no,8
174,2.0,2.0,,465000,"23 Rathmichael Park, Shankill, Dublin 18",Terrace,no,8
175,3.0,2.0,92.0,325000,"131 Curragh Woods, Frankfield, Co. Cork",Semi-D,no,8
176,4.0,3.0,,345000,"65 Beechmount, Green Road, Newbridge, Co. Kildare",Semi-D,no,8
177,3.0,2.0,112.0,515000,"11 Seabury Dale, Malahide, Co. Dublin",Semi-D,no,8
178,4.0,3.0,167.0,795000,"282 Block 16 Marina Village, Malahide, Co. Dublin",Terrace,no,8
179,4.0,3.0,233.0,450000,"Grallagh, Loughrea, Co. Galway",Detached,no,8
180,2.0,2.0,70.0,195000,"43 Cois Ghrúda, Castletroy, Co. Limerick",Apartment,no,9
181,10.0,10.0,297.0,1350000,"Castle Lodge Auburn, Back Road, Malahide, Co. Dublin",Detached,no,9
182,2.0,3.0,63.0,245000,"26 Mount Carmel Road, Greenmount, Cork City, Co. Cork",Townhouse,no,9
183,6.0,5.0,595.0,6750000,"Dungriffan, 2 Sydney Parade Avenue, Dublin 4",Semi-D,no,9
184,4.0,4.0,255.0,425000,"Garryhinch, Portarlington, Co. Offaly",Detached,no,9
185,4.0,4.0,227.0,425000,"Heney, Cavan, Co. Cavan",Detached,no,9
186,3.0,1.0,87.0,415000,"33 Shantalla Road, Beaumont, Beaumont, Dublin 9",Semi-D,no,9
187,3.0,1.0,,119000,"Ritavilla, Turner's Hill, Kingscourt, Co. Cavan",Detached,no,9
188,3.0,2.0,112.0,125000,"Turner's Hill, Kingscourt, Co. Cavan",Terrace,no,9
189,3.0,1.0,80.0,450000,"16 Mountain View Drive, Churchtown, Dublin 14",Terrace,no,9
190,4.0,3.0,125.0,495000,"19 Marlton Hall, Wicklow Town, Co. Wicklow",Detached,no,9
191,5.0,2.0,220.0,450000,"'Foxfield' Davidstown, Slieveure, Waterford City, Co. Waterford",Detached,no,9
192,2.0,1.0,46.0,159000,"10 O'Connell Street, Blackpool, Co. Cork",Terrace,no,9
193,4.0,3.0,180.0,875000,"5 Parnell Cottages, Malahide, Co. Dublin",Semi-D,no,9
194,6.0,3.0,341.0,2800000,"4 Willow Bank, Monkstown, Co. Dublin",Semi-D,no,9
195,2.0,1.0,74.0,275000,"2 Hamilton Hall, Dunboyne, Co. Meath",Apartment,no,9
196,4.0,2.0,218.0,299000,"28 Main Street, Kingscourt, Co. Cavan",Terrace,no,9
197,2.0,2.0,75.0,280000,"22 Village Court, Upper Patrick Street, Kilkenny, Co. Kilkenny",Apartment,no,9
198,4.0,2.0,95.0,295000,"Greatmeadow, Boyle, Co. Roscommon",Detached,no,9
199,2.0,2.0,82.0,195000,"22 The Estuary, Redmond Road, Wexford Town, Co. Wexford",End of Terrace,no,9
