,Date,Address,Price,Page
69,2022-12-06,"Main Street, Hospital, Co. Limerick, V35ck80",115000,4
70,2022-12-06,"New St, Abbeyfeale, Co. Limerick, V94e4c8",140000,4
71,2022-12-06,"11 Chancery Park Close, Tullamore, Co. Offaly, R35w2d5",245000,4
72,2022-12-06,"86 Carraig Cluain, Clara Rd, R35x5t9, Tullamore, Co. Offaly",215000,4
73,2022-12-06,"132 Newtown Lawns, Mullingar, Co. Westmeath, N91a6y1",195000,4
74,2022-12-06,"16 The Drive, Lakepoint Park, Mullingar, Co. Westmeath, N91f5x2",218250,4
75,2022-12-06,"4 Old Ballinderry, Ballinderry, Mullingar, Co. Westmeath, N91c7d9",200000,4
76,2022-12-06,"Belville Lodge, Twyford, Baylin, N37p7x9",380000,4
77,2022-12-06,"24 Thornbrooke, Herbert Road, Bray, Co. Wicklow",612335,4
78,2022-12-06,"28 Hawkins Wood Drive, Hawkins Wood, Greystones, Co. Wicklow",466960,4
79,2022-12-06,"29 Archers Wood Rise, Archers Wood, Delgany, Co. Wicklow",497797,4
80,2022-12-06,"29 Rochfort Manor, Leighlin Rd, Co. Carlow, R93e9v3",228000,5
81,2022-12-06,"16 Aran Court, Main St, Ardara, Co. Donegal, F94a522",56000,5
82,2022-12-06,"79 Doran Close, Drumacrin Rd, Bundoran, Co. Donegal, F94h744",175000,5
83,2022-12-05,"4 Gleann Aibhinn, Clonbeg, Buncrana, Co. Donegal",160075,5
84,2022-12-05,"99 Blue Cedars, Ballybofey, Co. Donegal, F93a3y8",88000,5
85,2022-12-05,"Carrickboyle, Brinlack, Co. Donegal, F92fw32",80000,5
86,2022-12-05,"12 The Belfry, Ballyclough, Co. Limerick, V94yxd6",815000,5
87,2022-12-05,"Bawnmore, Ardpatrick, Kilmallock, Co. Limerick, V35fy91",285000,5
88,2022-12-05,"Bresheen, Kilmallock, Co. Limerick",240000,5
89,2022-12-05,"169 Sycamore Dr, Edenderry, Co. Offaly, R45hd89",235000,5
90,2022-12-05,"124 Belvedere Hills, Mullingar, Co. Westmeath, N91n2t9",266000,5
91,2022-12-05,"6 Willowbrook, Mullingar, Co. Westmeath, N91xhe1",239000,5
92,2022-12-05,"68 Priory Park, Athlone, N37x9p3, Co. Westmeath",304000,5
93,2022-12-05,"Clara Road, Moate, Co. Westmeath, N37ff84",195000,5
94,2022-12-05,"Knockatee, Monilea, Mullingar, Co. Westmeath",104000,5
95,2022-12-05,"13 Hawkins Wood Close, Hawkins Wood, Greystones, Co. Wicklow",502203,5
96,2022-12-05,"26 Tramway, Blessington, Co. Wicklow, W91a720",240000,5
97,2022-12-05,"9 Adare Close, Killincarrig",525991,5
98,2022-12-05,"Gorteen House, Gorteen, Y14dk38, Tinahely, Co. Wicklow",184000,5
99,2022-12-05,"Hillview, Ballyguile, Co. Wicklow, A67ed98",540000,5
100,2022-12-05,"17 Maple Court Phelim Wood, Tullow, Co. Carlow, R93rt02",179500,6
101,2022-12-05,"56 Birch Close, New Oak Estate, Co. Carlow, R93kr22",116000,6
102,2022-12-05,"17 Blue Cedars, Ballybofey, Co. Donegal, F93y045",250000,6
103,2022-12-02,"48 Treada Na Ri, Kilfinane, Co. Limerick, V35kx03",210000,6
104,2022-12-02,"Fingall, 46 Castletroy Heights, V94w3wn, Co. Limerick",420000,6
105,2022-12-02,"1 Eiscir Summer Rd, Eiscir Meadows, Tullamore, Co. Offaly, R35x9e2",240000,6
106,2022-12-02,"2 Glasson Mews, Athlone, N37fw95, Glasson, Co. Westmeath",305000,6
107,2022-12-02,"4 Ardbrae Park, Athlone, N37y1r0, Co. Westmeath",285000,6
108,2022-12-02,"7 Coillini Bui, Clara Road, Moate, Co. Westmeath, N37x398",180000,6
109,2022-12-02,"9 Cionn, Torc, Castlepollard, Co. Westmeath, N91x9w9",165000,6
110,2022-12-02,"119 Saunders Lane, Rathnew, Co. Wicklow, A67xv72",340000,6
111,2022-12-02,"19 Bel Air Village, Ashford, Co. Wicklow",275000,6
112,2022-12-02,"23 Seapoint Court, Bray, Co. Wicklow, A98rr62",517500,6
113,2022-12-02,"293 Redford Park, Greystones, Co. Wicklow, A63v524",560000,6
114,2022-12-02,"4 Rocky Rd, Co. Wicklow, A67f728",400000,6
115,2022-12-02,"54 Rockfield Meadow, Newtownmountkennedy, Co. Wicklow",343612,6
116,2022-12-02,"6 Fitzwilliam Terrace, Strand Rd, Bray, Co. Wicklow, A98ae10",950000,6
117,2022-12-02,"Apt 7, Toner House, Sidmonton Place, A98nr24",405000,6
118,2022-12-02,"Russborough, Blessington, Co. Wicklow, W91e8d9",650000,6
119,2022-12-02,"The Willows, Church Lane, Greystones, Co. Wicklow, A63yc86",1175000,6
120,2022-12-02,"23 BLACKROCK GROVE, EDEN, Blackrock, Co. Cork, T12WD86",265000,7
121,2022-12-02,"CARHOO WEST, BURNHAM, V92V082, Dingle, Co. Kerry",368000,7
122,2022-12-02,"31 The Orchard, Oldtown Demesne, Sallins Road, Co. Kildare",387665,7
123,2022-12-02,"43 ROSSDARRAGH GLEN, RATHEVEN, Portlaoise, Co. Laois, R32XYN3",193000,7
124,2022-12-02,"2 SYCAMORE AVE, BEAUFORT PLACE, Navan, Co. Meath, C15Y3E0",385000,7
125,2022-12-02,"71 CASTLEVIEW, MEATH, Dunboyne, Co. Meath, A86EP22",303000,7
126,2022-12-02,"20 PARK VIEW, ROBSWALLS, Malahide, Co. Dublin, K36D235",400000,7
127,2022-12-02,"31 OBELISK WALK, CARYSFORT AVENUE, Blackrock, Co. Dublin, A94X4E0",785000,7
128,2022-12-02,"94 Castlefield Hall, Clonsilla, Dublin 15",387665,7
129,2022-12-02,"54 Southern Gardens, Kilkenny Rd, Co. Carlow, R93y8c1",305000,7
130,2022-12-02,"57 Idrone Park, Carlow, Co. Carlow, R93x2n0",200000,7
131,2022-12-02,"58 Browenshill Wood, Brownshill Rd, Co. Carlow, R93r2n0",310000,7
132,2022-12-02,"126 Westpoint, Donegal Town, Co. Donegal",242290,7
133,2022-12-02,"2 Cooladerry, Fanad, Co. Donegal, F91te82",155000,7
134,2022-12-02,"162 Dooradoyle Park, Dooradoyle Rd, Co. Limerick, V94ck29",192500,7
135,2022-12-02,"19A Thomond Student Village, Old Cratloe Rd, Co. Limerick, V94x850",103000,7
136,2022-12-02,"235 Glanntan, Golf Links Rd, Castletroy, Co. Limerick, V94py0p",323000,7
