,Date,Address,New_price,Old_price,Change(€),Change(%),Page
0,2022-12-16," 10 The Telford Building, Heuston South Quarter, Kilmainham, Dublin 8 ",465000,425000,40000,9.41,1
1,2022-12-16," Ballydoole, Pallaskenry, Limerick ",560000,500000,60000,12.0,1
2,2022-12-16," 19 Buttery Court, Market Square, Mallow, Cork ",135000,140000,-5000,-3.57,1
3,2022-12-15," 69 Dominick Place, Airmount, Co. Waterford ",159000,170000,-11000,-6.47,1
4,2022-12-15," 40 Pairc Na Fana, Union Hall, West Cork. P81P732 ",375000,350000,25000,7.14,1
5,2022-12-15," 46 Healy Terrace, Ballina, Mayo ",84000,92000,-8000,-8.7,1
6,2022-12-15," Ballinatray , Courtown, Wexford ",100000,90000,10000,11.11,1
7,2022-12-15," 62 Castleheath, Swords Road, Malahide, Swords, County Dublin ",495000,515000,-20000,-3.88,1
8,2022-12-15," 13 Foxborough Court, Lucan, Lucan, Dublin ",420000,350000,70000,20.0,1
9,2022-12-15," Cloonshanbally, Culfadda, Co. Sligo ",199500,219000,-19500,-8.9,1
10,2022-12-15, Portnashangan ,285000,275000,10000,3.64,1
11,2022-12-14," Residence On C.1.85 Acres at Ballyglass, Knockcroghery, Co. Roscommon ",175000,125000,50000,40.0,1
12,2022-12-14," Blue Gates, Hilly Road, Drumshanbo, Leitrim ",150000,135000,15000,11.11,1
13,2022-12-14," 61 The Boulevard Bealing Village , Tyrrelstown, Dublin 15 ",320000,330000,-10000,-3.03,1
14,2022-12-14," 11 The Green, Meadowvale, Arklow, Wicklow, Y14H683 ",299000,315000,-16000,-5.08,2
15,2022-12-13," 69 Embassy Manor, Kill, Kildare ",335000,349000,-14000,-4.01,2
16,2022-12-13," 19 Connaught Street Parade Phibsboro Dublin 7, Phibsboro, Dublin 7 ",315000,325000,-10000,-3.08,2
17,2022-12-13," 46 Knightswood, Drogheda, Louth ",330000,299950,30050,10.02,2
18,2022-12-13," 46 Knightswood, Drogheda, Louth ",299950,299000,950,0.32,2
19,2022-12-13," 8 Monkstown Avenue, Monkstown, Co. Dublin ",940000,925000,15000,1.62,2
20,2022-12-13," 51 Pinebrook Vale, Clonsilla, Dublin 15 ",280000,275000,5000,1.82,2
21,2022-12-13," 99 Latchford Square, Clonee, Dublin 15 ",270000,279950,-9950,-3.55,2
22,2022-12-13," 10 Fortlawn Park, Blanchardstown, Dublin 15 ",335000,360000,-25000,-6.94,2
23,2022-12-13," 21 Cherryfield Park, Hartstown, Dublin 15 ",290000,297000,-7000,-2.36,2
24,2022-12-13," Type E5 Ferns Wood, Ballykelly Road, Monasterevin, Kildare ",384950,379950,5000,1.32,2
25,2022-12-13," No. 5 Riverchapel Parade, Riverchapel, Gorey, Wexford ",235000,225000,10000,4.44,2
26,2022-12-13," 2 Lower View Ville, Strawberry Hill, Sundays Well, Cork ",325000,295000,30000,10.17,2
27,2022-12-13," 5 Chamber Street, South City Centre - D8, Dublin 8 ",215000,290000,-75000,-25.86,2
28,2022-12-13," Ardue, Ballyconnell, Cavan ",125000,119000,6000,5.04,2
29,2022-12-12," 18 Tobair Ban, Kells, Meath ",280000,270000,10000,3.7,3
30,2022-12-12," Clegna, Cootehall, Boyle, Co. Roscommon ",99000,125000,-26000,-20.8,3
31,2022-12-12," 17 Sandymount Green, Sandymount, Dublin 4 ",1595000,1750000,-155000,-8.86,3
32,2022-12-12," 41 St. Fintan's Villas, Deansgrange, County Dublin ",695000,724950,-29950,-4.13,3
33,2022-12-12," Unit 2, Castle Park Apartments, Leighlin Road, Graiguecullen, Co. Carlow ",147500,135000,12500,9.26,3
34,2022-12-12," 65 The Glen, Portarlington, Co. Laois ",195000,199000,-4000,-2.01,3
35,2022-12-12," 41 Ath Lethan, Racecourse Road, Dundalk, Co. Louth ",155000,150000,5000,3.33,3
36,2022-12-12," 12 Kearns Court, Kilmainham, Dublin 8 ",265000,225000,40000,17.78,3
37,2022-12-12," 9 Corn Lodge, Castlebridge, Wexford ",150000,159500,-9500,-5.96,3
38,2022-12-12," 'Percivals', Daybreak, Ballycanew, Gorey, Co Wexford ",575000,550000,25000,4.55,3
39,2022-12-12," Clos Emer, Saltown, Dundalk, Louth ",225000,265000,-40000,-15.09,3
40,2022-12-10," Dun Iad, Park Road, Camolin, Gorey, Wexford ",395000,435000,-40000,-9.2,3
41,2022-12-09," 36 Cuirt Na hAbhainn, Claregalway, Galway ",345000,335000,10000,2.99,3
42,2022-12-09," New Road, Allenwood, Kildare ",480000,485000,-5000,-1.03,3
43,2022-12-09," 28 Rath Gael, Clondalkin, Dublin 22 ",179000,189000,-10000,-5.29,3
44,2022-12-09," 24 Heatherfield, Bailieborough, Cavan ",190000,199000,-9000,-4.52,3
45,2022-12-09," 5 Castlefield Grove, Killala Rd, Ballina, Mayo ",150000,135000,15000,11.11,3
46,2022-12-09," Bellagh Place, McGee's Cross, Kells, Meath ",160000,170000,-10000,-5.88,3
47,2022-12-09," 41 Ath Lethan, Racecourse Road, Dundalk, Co. Louth ",150000,155000,-5000,-3.23,4
48,2022-12-09," The Mall, Dingle, Kerry ",260000,300000,-40000,-13.33,4
49,2022-12-09," 10 Appollonian Suites, Church Road, Tramore, Waterford ",215000,225000,-10000,-4.44,4
50,2022-12-09," Pinegrove, Carhoo, Rathpeacon, Cork ",280000,335000,-55000,-16.42,4
51,2022-12-09," 16 Parklyn , Brockelsby Street, Blackpool, Cork ",210000,225000,-15000,-6.67,4
52,2022-12-09," 14 St. Lawrence Terrace, Howth, Howth, Dublin ",495000,475000,20000,4.21,4
53,2022-12-09," Apt 34 Blacklion Manor, Greystones, Wicklow ",270000,280000,-10000,-3.57,4
54,2022-12-09," 2 Woodbine Avenue , Booterstown, County Dublin ",625000,645000,-20000,-3.1,4
55,2022-12-09," 29 Berkley Lawn, Thomastown, Kilkenny ",335000,350000,-15000,-4.29,4
56,2022-12-09," No.20 Cluain An Fhiaidh, Lispole, Kerry ",370000,375000,-5000,-1.33,4
57,2022-12-09," 18 Avenue Grove, The Avenue, Gorey, Wexford ",250000,230000,20000,8.7,4
58,2022-12-08," the moorings, whitepoint, cobh, co cork , Cobh, East Cork ",695000,750000,-55000,-7.33,4
59,2022-12-08, 19 Deravarra House ,115000,119950,-4950,-4.13,4
60,2022-12-08," 53 Smithfield Market , Block A, Smithfield, Dublin 7 ",495000,515000,-20000,-3.88,4
