,Date,Address,New_price,Old_price,Change(€),Change(%),Page
61,2022-12-08," Apartment 196, Bracken Hill, Sandyford, Dublin 18 ",380000,360000,20000,5.56,4
62,2022-12-08," Naas Road, Kilcullen, Kildare ",335000,329000,6000,1.82,4
63,2022-12-08," 55 Longstone Park, Portrane, Dublin ",295000,340000,-45000,-13.24,4
64,2022-12-08," Naas Road, Kilcullen, Kildare ",329000,334950,-5950,-1.78,5
65,2022-12-07," Gates, Old Parish, Dungarvan, Waterford ",370000,410000,-40000,-9.76,5
66,2022-12-07," 15 Brooke Avenue, Rocklands, Cavan Town, Co. Cavan ",225000,210000,15000,7.14,5
67,2022-12-07," Naas Road, Kilcullen, Kildare ",334950,339950,-5000,-1.47,5
68,2022-12-07," Naas Road, Kilcullen, Kildare ",339950,349000,-9050,-2.59,5
69,2022-12-07," Naas Road, Kilcullen, Kildare ",349000,385000,-36000,-9.35,5
70,2022-12-07," 3 Norwood, Ballybrack, Glenageary, Co Dublin ",420000,450000,-30000,-6.67,5
71,2022-12-07," Apartment 11 Marlfield Mall, Kiltipper Way, Tallaght, Dublin ",275000,240000,35000,14.58,5
72,2022-12-07," 21 Oriel Cove, Clogherhead, Louth ",245000,269000,-24000,-8.92,5
73,2022-12-07," 93 Longmeadows, Islandbridge, Dublin 8 ",275000,250000,25000,10.0,5
74,2022-12-07," Attirowerty, Letterfrack, Galway ",50000,70000,-20000,-28.57,5
75,2022-12-07," Turner's Hill, Kingscourt, Cavan ",125000,150000,-25000,-16.67,5
76,2022-12-07," Aughamore, Rooskey, Leitrim ",315000,305000,10000,3.28,5
77,2022-12-07," “Loth Lorien” Ballinclamper, Ballinacourty, , Dungarvan, Waterford ",680000,750000,-70000,-9.33,5
78,2022-12-07," Fairfield Lower, Crossmolina, Mayo ",50000,53000,-3000,-5.66,5
79,2022-12-07," Residence 9, InterContinental Hotel, Ballsbridge, Dublin 4 ",975000,1100000,-125000,-11.36,5
80,2022-12-07," Bracklone Street, Portarlington, Laois ",109000,130000,-21000,-16.15,6
81,2022-12-06," 16 Willow Close, Primrose Gate, Celbridge, Kildare ",220000,178000,42000,23.6,6
82,2022-12-06," 15A Strand Road, Sandymount, Dublin 4 ",850000,845000,5000,0.59,6
83,2022-12-06," 12 Oranhill Road, Oranhill, Oranmore, Galway ",460000,495000,-35000,-7.07,6
84,2022-12-06," 7 Friary Court, Friary Road , Naas, Kildare ",15000,10000,5000,50.0,6
85,2022-12-06," Dunphys Bar, Kilbarrymeaden, Kill, Waterford ",300000,350000,-50000,-14.29,6
86,2022-12-06," Dunphy's, Kilbarrymeaden, Kill, Waterford ",300000,350000,-50000,-14.29,6
87,2022-12-06," 2A Lake Edge, Kilminchy, Portlaoise, Laois ",220000,230000,-10000,-4.35,6
88,2022-12-06," Knockauncarragh, Woodford, Galway ",249000,275000,-26000,-9.45,6
89,2022-12-06," Ringaphuca, Abbeyside, Dungarvan, , Dungarvan, Waterford ",355000,365000,-10000,-2.74,6
90,2022-12-06," Cadamstown, Kinnitty, Offaly ",55000,65000,-10000,-15.38,6
91,2022-12-06," No.2 The Birches, Clonbalt Woods., Longford, Longford ",195000,249000,-54000,-21.69,6
92,2022-12-05," Attymass, Ballina, Mayo ",22000,50000,-28000,-56.0,6
93,2022-12-05," Garryhesta, Ovens, Cork ",310000,400000,-90000,-22.5,6
94,2022-12-05," 11 Cardy Rock Road, Balbriggan, Dublin ",270000,235000,35000,14.89,7
95,2022-12-05," 12 Templeroan Green, Scholarstown Road, Rathfarnham, Dublin 16 ",430000,450000,-20000,-4.44,7
96,2022-12-05," 1 South Quay, Arklow, Wicklow ",250000,295000,-45000,-15.25,7
97,2022-12-05," 'Old Forge' Laught Street, Kilfinane, Limerick ",195000,199000,-4000,-2.01,7
98,2022-12-05," Mountrivers, Rylane, Cork ",395000,430000,-35000,-8.14,7
99,2022-12-02," 17 Tir Connell Grove, Inchicore, Dublin 8 ",290000,250000,40000,16.0,7
100,2022-12-02," Raheenduff, Oulart, Gorey, Wexford ",240000,235000,5000,2.13,7
101,2022-12-02," Apt 2 Bradogue Court, Annamoe Road, Cabra, Dublin 7 ",320000,340000,-20000,-5.88,7
102,2022-12-02," 19 Beverton Meadows, Donabate, County Dublin ",395000,415000,-20000,-4.82,7
103,2022-12-02," 2 Applewood Place, Applewood, Swords,   County Dublin ",215000,220000,-5000,-2.27,7
104,2022-12-02," Errill, Rathdowney, Laois ",170000,175000,-5000,-2.86,7
105,2022-12-02," The Square, Rathdowney, Laois ",70000,90000,-20000,-22.22,7
106,2022-12-02," Riverside Poormansbridge Abbeyleix Co Laois, Abbeyleix, Laois ",245000,268000,-23000,-8.58,7
107,2022-12-02," Mount Howard, Monamolin, Gorey, Wexford ",335000,328000,7000,2.13,7
108,2022-12-02," 8 The Stableyard, Oldtown Demesne, Naas, Kildare ",349950,345000,4950,1.43,7
109,2022-12-02," 44 Reuben Avenue, Rialto, Dublin 8 ",420000,450000,-30000,-6.67,7
110,2022-12-02," Carrowntemple, Gurteen, Co. Sligo, Gurteen, Sligo ",55000,38500,16500,42.86,8
111,2022-12-01," 4 Drumsawry View, Cloughan St., Oldcastle, Co Meath A82ET73 ",105000,110000,-5000,-4.55,8
112,2022-12-01," 20 Millbrook Drive, Old Tuam Road, Athlone, Co. Roscommon ",209000,205000,4000,1.95,8
113,2022-12-01," 235 Kilmainham Square, Kilmainham, Dublin 8 ",495000,425000,70000,16.47,8
114,2022-12-01," 40 Sraid Na Mara, Sligo City, Sligo ",325000,300000,25000,8.33,8
115,2022-12-01," Apartment 5, 13a Grattan Crescent, Inchicore, Dublin 8 ",240000,265000,-25000,-9.43,8
116,2022-12-01," 7 Cluain Aoibhinn, Naas, Kildare ",360000,375000,-15000,-4.0,8
117,2022-12-01," 9 Turvey Villas, Donabate, County Dublin ",250000,270000,-20000,-7.41,8
118,2022-12-01," 8 Neptune House, Canada Square, Waterford City, Waterford ",135000,145000,-10000,-6.9,8
119,2022-12-01," Nancy Whiskeys, Haymarket, Carlow Town, Carlow ",450000,400000,50000,12.5,8
120,2022-12-01," St Nicholas, St Patricks Road, Wicklow Town, Co. Wicklow ",575000,650000,-75000,-11.54,8
121,2022-12-01," 7 Abbeyvale Way, Swords, Dublin ",360000,375000,-15000,-4.0,8
122,2022-12-01," 6 Innisfallen Parade, Dublin 7, Dublin ",240000,260000,-20000,-7.69,8
123,2022-12-01," 15 Springfield Crescent, Rossmore Village, Tipperary Town, Tipperary ",221451,220000,1451,0.66,8
124,2022-12-01, 13 Mount Prospect ,260000,254950,5050,1.98,8
125,2022-12-01," Ballinruan, Crusheen, Caher, Clare ",530000,550000,-20000,-3.64,8
126,2022-12-01," 7 Cluain Aodha, Gort, Galway ",195000,220000,-25000,-11.36,9
127,2022-11-30," Callanacor, Drumkeen, Co. Donegal ",100000,125000,-25000,-20.0,9
128,2022-11-30," 5 Woodbrook Hall, Carpenterstown, Dublin 15 ",275000,295000,-20000,-6.78,9
129,2022-11-30," Janeville Offaly Street , Athy, Kildare ",140000,180000,-40000,-22.22,9
130,2022-11-30," 24 Deelish Park, Beaufort, Kerry ",379500,395000,-15500,-3.92,9
131,2022-11-30," 10 The Oak Courtyard, Bellview Woods, Killarney, Co. Kerry, Killarney, Kerry ",285000,290000,-5000,-1.72,9
132,2022-11-30," 19 Priory Avenue, Eden Gate, Delgany, Wicklow ",960000,975000,-15000,-1.54,9
133,2022-11-30," 11 Faulkners Terrace, Mount Brown, Kilmainham, Dublin ",450000,495000,-45000,-9.09,9
134,2022-11-30," 5 Ballalease West, Donabate, Dublin ",410000,425000,-15000,-3.53,9
135,2022-11-30," 2 Carrigaline Road, Crosshaven, Cork ",425000,460000,-35000,-7.61,9
136,2022-11-30," 43 Rossmore Road, Ballyfermot,   Dublin 10 ",275000,250000,25000,10.0,9
137,2022-11-30," 43 Rossmore Road, Ballyfermot,   Dublin 10 ",250000,275000,-25000,-9.09,9
138,2022-11-30," 13 Arran Quay Terrace, Smithfield, Dublin ",520000,550000,-30000,-5.45,9
